ADM0_EN,ADM0_SW,ADM0_PCODE,ADM1_EN,ADM1_PCODE,ADM2_EN,ADM2_PCODE,ADM3_EN,ADM3_PCODE,TOTAL_BOTH,TOTAL_MALE,TOTAL_FEMA,RURAL_BOTH,RURAL_MALE,URBAN_BOTH,URBAN_MALE,URBAN_FEMA,RURAL_FEMA
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Bumbuta,TZ0101011,8602 ,4433 ,4169 ,8602 ,4433 ,0 ,0 ,0 ,4169 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Pahi,TZ0101021,13944 ,7082 ,6862 ,13944 ,7082 ,0 ,0 ,0 ,6862 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Busi,TZ0101031,18724 ,9416 ,9308 ,18724 ,9416 ,0 ,0 ,0 ,9308 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Haubi,TZ0101041,13757 ,7027 ,6730 ,13757 ,7027 ,0 ,0 ,0 ,6730 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kalamba,TZ0101051,13988 ,7023 ,6965 ,13988 ,7023 ,0 ,0 ,0 ,6965 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kwadelo,TZ0101061,11593 ,5801 ,5792 ,11593 ,5801 ,0 ,0 ,0 ,5792 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Masange,TZ0101071,5388 ,2665 ,2723 ,5388 ,2665 ,0 ,0 ,0 ,2723 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kikilo,TZ0101081,9318 ,4667 ,4651 ,9318 ,4667 ,0 ,0 ,0 ,4651 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Bereko,TZ0101091,7226 ,3655 ,3571 ,7226 ,3655 ,0 ,0 ,0 ,3571 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kisese,TZ0101101,12989 ,6631 ,6358 ,12989 ,6631 ,0 ,0 ,0 ,6358 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kikore,TZ0101111,13044 ,6724 ,6320 ,13044 ,6724 ,0 ,0 ,0 ,6320 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Serya,TZ0101121,6054 ,3188 ,2866 ,6054 ,3188 ,0 ,0 ,0 ,2866 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kilimani,TZ0101133,7237 ,3503 ,3734 ,2150 ,1044 ,5087 ,2459 ,2628 ,1106 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Chemchem,TZ0101142,7914 ,3797 ,4117 ,0 ,0 ,7914 ,3797 ,4117 ,0 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Hondo mairo,TZ0101151,8114 ,4221 ,3893 ,8114 ,4221 ,0 ,0 ,0 ,3893 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Bolisa,TZ0101161,3644 ,1812 ,1832 ,3644 ,1812 ,0 ,0 ,0 ,1832 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kinyasi,TZ0101171,8816 ,4508 ,4308 ,8816 ,4508 ,0 ,0 ,0 ,4308 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Salanka,TZ0101181,8632 ,4335 ,4297 ,8632 ,4335 ,0 ,0 ,0 ,4297 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Itololo,TZ0101191,7196 ,3717 ,3479 ,7196 ,3717 ,0 ,0 ,0 ,3479 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Itaswi,TZ0101201,9774 ,5159 ,4615 ,9774 ,5159 ,0 ,0 ,0 ,4615 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Suruke,TZ0101211,3545 ,1841 ,1704 ,3545 ,1841 ,0 ,0 ,0 ,1704 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kingale,TZ0101221,11003 ,5602 ,5401 ,11003 ,5602 ,0 ,0 ,0 ,5401 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kondoa mjini,TZ0101232,14382 ,6744 ,7638 ,0 ,0 ,14382 ,6744 ,7638 ,0 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Kolo,TZ0101241,5243 ,2690 ,2553 ,5243 ,2690 ,0 ,0 ,0 ,2553 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Changaa,TZ0101251,9634 ,5095 ,4539 ,9634 ,5095 ,0 ,0 ,0 ,4539 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Thawi,TZ0101261,10799 ,5449 ,5350 ,10799 ,5449 ,0 ,0 ,0 ,5350 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Mnenia,TZ0101271,11528 ,5905 ,5623 ,11528 ,5905 ,0 ,0 ,0 ,5623 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Kondoa,TZ0101,Soera,TZ0101281,7616 ,3828 ,3788 ,7616 ,3828 ,0 ,0 ,0 ,3788 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mazae,TZ0102011,8021 ,3908 ,4113 ,8021 ,3908 ,0 ,0 ,0 ,4113 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Vingh'awe,TZ0102023,12277 ,5812 ,6465 ,6557 ,3183 ,5720 ,2629 ,3091 ,3374 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Matomondo,TZ0102031,17131 ,8355 ,8776 ,17131 ,8355 ,0 ,0 ,0 ,8776 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Kimagai,TZ0102041,7340 ,3570 ,3770 ,7340 ,3570 ,0 ,0 ,0 ,3770 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Kibakwe,TZ0102053,16705 ,8115 ,8590 ,11557 ,5615 ,5148 ,2500 ,2648 ,5942 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Lumuma,TZ0102061,3783 ,1874 ,1909 ,3783 ,1874 ,0 ,0 ,0 ,1909 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Luhundwa,TZ0102071,12161 ,5904 ,6257 ,12161 ,5904 ,0 ,0 ,0 ,6257 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Massa,TZ0102081,12561 ,6083 ,6478 ,12561 ,6083 ,0 ,0 ,0 ,6478 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Ipera,TZ0102091,12870 ,6304 ,6566 ,12870 ,6304 ,0 ,0 ,0 ,6566 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Rudi,TZ0102101,10029 ,4739 ,5290 ,10029 ,4739 ,0 ,0 ,0 ,5290 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mlunduzi,TZ0102111,9668 ,4602 ,5066 ,9668 ,4602 ,0 ,0 ,0 ,5066 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Wotta,TZ0102121,13340 ,6359 ,6981 ,13340 ,6359 ,0 ,0 ,0 ,6981 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mima,TZ0102131,14435 ,6926 ,7509 ,14435 ,6926 ,0 ,0 ,0 ,7509 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Berege,TZ0102141,10931 ,5373 ,5558 ,10931 ,5373 ,0 ,0 ,0 ,5558 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Chunyu,TZ0102151,11593 ,5458 ,6135 ,11593 ,5458 ,0 ,0 ,0 ,6135 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mbuga,TZ0102161,5813 ,2924 ,2889 ,5813 ,2924 ,0 ,0 ,0 ,2889 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Godegode,TZ0102171,7884 ,3899 ,3985 ,7884 ,3899 ,0 ,0 ,0 ,3985 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Mpwapwa,TZ0102183,21337 ,10147 ,11190 ,5604 ,2726 ,15733 ,7421 ,8312 ,2878 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Lupeta,TZ0102191,8477 ,4081 ,4396 ,8477 ,4081 ,0 ,0 ,0 ,4396 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Gulwe,TZ0102201,10385 ,5059 ,5326 ,10385 ,5059 ,0 ,0 ,0 ,5326 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Nghambi,TZ0102211,8377 ,3987 ,4390 ,8377 ,3987 ,0 ,0 ,0 ,4390 
United Republic of Tanzania,Jamhuri ya Muungano wa Tanzania,TZ,Dodoma,TZ01,Mpwapwa,TZ0102,Chitemo,TZ0102221,7782 ,3765 ,4017 ,7782 ,3765 ,0 ,0 ,0 ,4017 
